id,education,marital_status,income,num_kid,num_teen,days_last_purchases,total_juice_expenses,total_fruit_expenses,total_meat_expenses,total_fish_expenses,total_sweet_expenses,num_deal_purchases,num_web_purchases,num_catalog_purchases,num_store_purchases,num_web_visits_per_month
5524,Graduation,Single,58138.0,0,0,58,635,88,546,172,88,3,8,10,4,7
2174,Graduation,Single,46344.0,1,1,38,11,1,6,2,1,2,1,1,2,5
4141,Graduation,Together,71613.0,0,0,26,426,49,127,111,21,1,8,2,10,4
6182,Graduation,Together,26646.0,1,0,26,11,4,20,10,3,2,2,0,4,6
5324,PhD,Married,58293.0,1,0,94,173,43,118,46,27,5,5,3,6,5
7446,Master,Together,62513.0,0,1,16,520,42,98,0,42,2,6,4,10,6
965,Graduation,Divorced,55635.0,0,1,34,235,65,164,50,49,4,7,3,7,6
6177,PhD,Married,33454.0,1,0,32,76,10,56,3,1,2,4,0,4,8
4855,PhD,Together,30351.0,1,0,19,14,0,24,3,3,1,3,0,2,9
5899,PhD,Together,5648.0,1,1,68,28,0,6,1,1,1,1,0,0,20
1994,Graduation,Married,,1,0,11,5,5,6,0,2,1,1,0,2,7
387,Basic,Married,7500.0,0,0,59,6,16,11,11,1,1,2,0,3,8
2125,Graduation,Divorced,63033.0,0,0,82,194,61,480,225,112,1,3,4,8,2
8180,Master,Divorced,59354.0,1,1,53,233,2,53,3,5,3,6,1,5,6
2569,Graduation,Married,17323.0,0,0,38,3,14,17,6,1,1,1,0,3,8
2114,PhD,Single,82800.0,0,0,23,1006,22,115,59,68,1,7,6,12,3
9736,Graduation,Married,41850.0,1,1,51,53,5,19,2,13,3,3,0,3,8
4939,Graduation,Together,37760.0,0,0,20,84,5,38,150,12,2,4,1,6,7
6565,Master,Married,76995.0,0,1,91,1012,80,498,0,16,2,11,4,9,5
2278,2n Cycle,Single,33812.0,1,0,86,4,17,19,30,24,2,2,1,3,6
9360,Graduation,Married,37040.0,0,0,41,86,2,73,69,38,1,4,2,5,8
5376,Graduation,Married,2447.0,1,0,42,1,1,1725,1,1,15,0,28,0,1
1993,PhD,Married,58607.0,0,1,63,867,0,86,0,0,3,2,3,9,8
4047,PhD,Married,65324.0,0,1,0,384,0,102,21,32,3,6,2,9,4
1409,Graduation,Together,40689.0,0,1,69,270,3,27,39,6,7,7,1,5,8
7892,Graduation,Single,18589.0,0,0,89,6,4,25,15,12,2,2,1,3,7
2404,Graduation,Married,53359.0,1,1,4,173,4,30,3,6,4,5,1,4,7
5255,Graduation,Single,,1,0,19,5,1,3,3,263,0,27,0,0,1
9422,Graduation,Married,38360.0,1,0,26,36,2,42,20,21,2,2,1,4,3
1966,PhD,Married,84618.0,0,0,96,684,100,801,21,66,1,6,9,10,2
6864,Master,Divorced,10979.0,0,0,34,8,4,10,2,2,2,3,0,3,5
3033,Master,Together,38620.0,0,0,56,112,17,44,34,22,1,2,5,3,3
5710,Graduation,Together,40548.0,0,1,31,110,0,5,2,0,2,2,1,4,5
7373,PhD,Divorced,46610.0,0,2,8,96,12,96,33,22,6,4,1,6,6
8755,Master,Married,68657.0,0,0,4,482,34,471,119,68,1,3,5,9,7
10738,Master,Single,49389.0,1,1,55,40,0,19,2,1,1,2,0,3,7
4339,PhD,Married,67353.0,0,1,37,702,17,151,0,8,5,5,6,12,2
10755,2n Cycle,Married,23718.0,1,0,76,6,3,14,15,7,3,3,1,2,7
8595,Graduation,Widow,42429.0,0,1,99,55,0,6,2,0,2,1,1,3,5
2968,PhD,Divorced,48948.0,0,0,53,437,8,206,160,49,2,7,10,5,6
8601,Graduation,Married,80011.0,0,1,3,421,76,536,82,178,2,8,6,5,4
503,Master,Married,20559.0,1,0,88,13,1,29,3,0,2,2,0,3,8
8430,Graduation,Together,21994.0,0,1,4,9,0,6,3,1,1,0,0,3,5
7281,PhD,Single,,0,0,80,81,11,50,3,2,1,1,3,4,2
2139,Master,Married,7500.0,1,0,19,3,1,10,3,2,3,2,0,3,5
1371,Graduation,Single,79941.0,0,0,72,123,164,266,227,30,1,2,4,9,1
9909,2n Cycle,Married,7500.0,0,0,24,3,18,14,15,22,3,3,1,3,9
7286,Graduation,Together,41728.0,1,0,92,13,6,15,3,5,1,2,0,2,10
7244,Graduation,Single,,2,1,96,48,5,48,6,10,3,2,1,4,6
6566,PhD,Married,72550.0,1,1,39,826,50,317,50,38,9,5,2,12,8
8614,Graduation,Widow,65486.0,0,1,29,245,19,125,37,67,1,4,2,10,2
4114,Master,Married,79143.0,0,0,2,650,37,780,27,167,1,6,9,13,3
1331,Graduation,Single,35790.0,1,0,54,12,6,20,30,1,2,2,0,3,7
2225,Graduation,Divorced,82582.0,0,0,54,510,120,550,156,40,1,4,9,7,1
9381,Graduation,Married,66373.0,1,1,57,328,9,124,12,24,7,4,2,10,3
6260,Master,Together,82384.0,0,0,55,984,51,432,180,120,1,3,10,13,1
10383,Graduation,Divorced,70287.0,0,0,30,295,35,482,121,120,1,5,5,10,3
7437,Graduation,Single,27938.0,1,0,31,13,0,8,2,1,1,1,0,4,3
8557,Graduation,Single,,1,0,57,11,3,22,2,2,2,2,0,3,6
8375,PhD,Married,55954.0,0,1,63,447,0,28,0,0,3,8,2,6,7
6853,Master,Single,75777.0,0,0,12,712,26,538,69,13,1,3,6,11,1
3076,Graduation,Together,66653.0,1,1,18,452,18,102,16,18,4,4,2,12,3
1012,Graduation,Single,61823.0,0,1,26,523,7,134,37,14,4,8,2,10,7
6518,PhD,Widow,67680.0,0,1,8,546,0,48,0,6,1,7,3,8,5
4137,Graduation,Together,70666.0,0,0,29,398,40,367,119,122,1,7,4,4,4
8082,Graduation,Married,25721.0,1,0,75,1,3,6,3,6,1,1,1,2,7
1386,Graduation,Together,32474.0,1,1,0,10,0,1,0,0,1,1,0,2,7
9369,2n Cycle,Single,88194.0,0,1,19,688,14,309,201,24,1,11,10,10,5
4477,Graduation,Together,69096.0,0,1,4,247,49,159,7,82,1,5,2,10,4
1357,Graduation,Together,74854.0,1,2,90,856,59,487,58,29,7,2,5,5,5
1402,Master,Married,66991.0,0,0,1,496,36,460,189,60,3,4,8,6,3
10629,2n Cycle,Married,,1,0,25,25,3,43,17,4,3,3,0,3,8
6312,Graduation,Married,65031.0,0,1,29,258,107,291,84,37,4,10,3,13,7
8132,PhD,Married,60631.0,1,1,88,565,6,65,0,6,5,9,2,8,7
1050,Graduation,Married,28332.0,0,0,58,14,10,13,4,15,1,2,1,4,2
5846,Graduation,Divorced,40246.0,1,0,68,2,1,6,2,1,1,1,0,2,6
1859,Master,Married,75251.0,0,0,34,721,111,925,97,18,1,7,6,5,5
7503,Graduation,Single,75825.0,0,0,40,1032,105,779,137,105,0,5,8,9,4
10401,2n Cycle,Together,26326.0,0,0,12,1,0,5,0,3,1,0,0,3,3
1618,Graduation,Together,56046.0,0,0,9,577,0,64,0,0,2,10,1,8,8
3332,Graduation,Single,29760.0,1,0,87,64,4,68,7,5,4,3,1,4,8
2261,Graduation,Married,26304.0,1,0,5,4,1,5,2,0,1,1,0,2,7
5346,2n Cycle,Married,23559.0,1,0,87,25,5,19,7,0,3,3,0,3,7
4119,Master,Together,38620.0,0,0,56,112,17,44,34,22,1,2,5,3,3
535,Graduation,Divorced,81361.0,0,0,18,163,23,424,27,65,1,3,10,13,1
5268,Graduation,Married,29440.0,1,1,95,17,8,14,10,4,2,1,0,4,7
273,Master,Married,36138.0,1,1,48,130,0,16,0,0,5,3,1,4,7
4452,Graduation,Single,50388.0,0,1,3,292,6,37,0,3,4,6,1,6,7
8504,Graduation,Married,79593.0,0,0,70,350,60,568,110,133,1,5,6,7,2
771,Graduation,Together,54178.0,0,1,79,135,9,39,4,0,1,2,2,5,2
8996,PhD,Married,,2,1,4,230,42,192,49,37,12,7,2,8,9
9235,Graduation,Single,,1,1,45,7,0,8,2,0,1,1,0,2,7
5798,Master,Together,,0,0,87,445,37,359,98,28,1,2,4,8,1
11178,Master,Single,42394.0,1,0,69,15,2,10,0,1,1,1,0,3,7
2230,PhD,Married,23626.0,1,0,84,27,2,14,0,0,3,3,1,3,5
7516,Graduation,Married,30096.0,1,0,30,5,3,11,12,5,1,2,0,3,6
7247,Graduation,Widow,47916.0,0,1,72,505,0,26,0,0,5,7,4,6,6
11100,Graduation,Divorced,51813.0,1,1,37,51,2,7,0,1,2,2,0,3,7
4646,2n Cycle,Married,78497.0,0,0,44,207,26,447,75,0,1,5,7,12,2
3037,PhD,Married,50150.0,0,0,32,135,46,92,65,61,2,5,2,7,5
1473,2n Cycle,Single,47823.0,0,1,0,53,1,5,2,1,2,2,0,3,8
1016,PhD,Single,34554.0,0,1,43,41,1,6,2,0,2,2,0,3,6
4518,Graduation,Together,85693.0,0,1,59,386,172,183,185,132,2,9,5,11,5
9370,PhD,Married,65846.0,0,0,68,562,81,276,80,40,1,6,3,6,4
8908,Graduation,Married,87195.0,0,0,35,217,76,690,50,26,1,3,11,5,1
8373,Basic,Together,24594.0,1,0,94,1,3,6,10,0,1,1,0,3,5
7533,Graduation,Married,49096.0,1,1,15,144,1,32,2,1,4,4,1,4,7
2683,Graduation,Married,52413.0,0,2,56,295,106,271,75,98,4,6,4,12,6
3629,Graduation,Single,38557.0,1,0,17,76,3,31,4,4,2,3,1,3,7
10991,Master,Married,89058.0,0,0,18,454,194,106,31,22,1,5,4,4,2
5077,Graduation,Together,77298.0,0,1,46,425,115,292,23,35,1,6,6,11,3
7431,PhD,Single,68126.0,0,0,40,1332,17,311,23,51,1,7,4,5,9
3267,Master,Together,57288.0,0,1,27,527,0,21,0,0,3,8,1,8,6
999,Graduation,Single,86037.0,0,0,95,490,44,125,29,20,1,6,7,11,3
9215,PhD,Married,43974.0,1,0,19,378,0,101,0,0,5,6,4,6,7
2286,Graduation,Single,50785.0,1,1,27,64,1,21,0,1,2,2,1,3,6
1592,Graduation,Married,90765.0,0,0,25,547,99,812,151,82,0,4,6,5,1
367,2n Cycle,Married,36550.0,1,0,74,47,90,94,123,103,5,9,1,5,9
5234,2n Cycle,Together,30753.0,1,1,85,12,5,25,0,9,2,1,1,3,5
9862,Graduation,Together,21918.0,1,0,37,1,6,7,11,5,2,2,0,3,6
9805,Master,Together,56129.0,0,1,65,320,48,133,39,72,4,6,2,10,4
6205,Master,Single,32557.0,1,0,13,34,3,29,0,4,3,2,1,3,5
8442,Master,Married,19510.0,2,0,63,9,0,7,3,4,2,1,0,3,7
7386,Graduation,Divorced,30992.0,1,0,83,17,0,14,7,3,1,1,0,3,7
7215,Graduation,Single,101970.0,0,0,69,722,27,102,44,72,0,6,8,13,2
1491,2n Cycle,Together,71488.0,0,0,87,162,33,124,40,28,2,3,4,7,1
11071,Graduation,Single,79607.0,0,0,37,450,133,951,173,0,1,3,6,6,1
3381,Master,Married,54348.0,1,1,51,70,0,16,0,0,2,2,0,4,6
8268,PhD,Married,,0,1,23,352,0,27,10,0,3,6,1,7,6
11051,PhD,Together,77376.0,1,1,72,492,19,110,16,12,4,6,3,10,4
8026,Graduation,Married,62998.0,0,1,10,120,58,73,65,89,5,5,4,5,5
433,Master,Alone,61331.0,1,1,42,534,5,47,0,5,5,11,1,6,8
9597,Graduation,Married,73448.0,0,0,10,236,106,189,23,41,1,7,2,9,4
1295,Graduation,Married,,0,1,96,231,65,196,38,71,1,6,5,7,4
5290,PhD,Married,41551.0,1,1,51,220,0,33,3,0,5,5,1,5,8
1685,PhD,Together,62981.0,0,0,21,796,14,590,38,44,1,4,5,13,3
5342,Basic,Divorced,9548.0,1,0,31,0,1,3,10,6,2,1,0,3,8
9579,PhD,Married,33762.0,2,1,61,53,1,34,2,0,3,2,2,2,8
7660,PhD,Alone,35860.0,1,1,37,15,0,8,4,2,2,1,1,2,5
1461,PhD,Divorced,36921.0,1,1,74,17,1,12,3,1,2,2,0,3,7
821,Master,Single,92859.0,0,0,46,962,61,921,52,61,1,5,4,12,2
11084,Master,Together,65104.0,0,1,4,738,0,232,13,20,2,3,5,7,7
8690,Graduation,Married,86111.0,0,0,73,399,28,756,36,40,1,5,7,10,2
2937,PhD,Single,68352.0,0,1,47,614,16,132,43,33,3,8,5,9,6
9701,Graduation,Together,41883.0,1,0,13,32,34,41,73,16,3,4,2,3,7
9949,Graduation,Married,59809.0,0,2,36,598,16,141,32,41,3,3,3,6,8
10837,Graduation,Married,23957.0,1,0,47,2,1,18,20,11,1,2,0,3,6
3120,Graduation,Together,38547.0,1,0,49,6,1,10,0,1,1,1,0,2,8
5885,2n Cycle,Married,35688.0,2,1,94,73,3,90,12,1,7,4,1,4,8
4050,Master,Married,49605.0,0,0,65,42,16,29,12,20,1,2,1,4,3
3830,Master,Married,59354.0,0,2,59,295,21,78,39,13,1,4,4,7,3
7987,Graduation,Married,65747.0,0,1,96,346,17,48,23,13,4,8,1,6,6
7798,2n Cycle,Together,46344.0,0,1,28,233,20,57,8,20,4,7,1,5,7
92,Graduation,Alone,34176.0,1,0,12,5,7,24,19,14,4,3,0,4,6
7055,PhD,Together,61010.0,0,1,57,888,0,57,0,0,2,8,5,11,5
10240,Graduation,Together,69372.0,0,0,10,997,26,269,34,13,1,10,4,6,4
3025,Graduation,Single,49967.0,0,1,4,212,6,69,4,12,3,6,1,5,7
9283,Graduation,Single,60199.0,1,2,49,8,1,7,2,0,1,0,0,3,4
9970,Graduation,Together,55375.0,0,1,3,42,11,57,10,28,1,1,1,6,2
2730,Graduation,Single,80317.0,0,0,64,536,11,387,149,91,1,3,4,10,1
2795,Master,Single,30523.0,2,1,0,5,0,3,0,0,1,1,0,2,7
9260,PhD,Married,70356.0,0,0,20,1349,16,249,43,16,2,10,6,9,6
8182,Graduation,Married,23228.0,1,0,91,53,3,49,7,4,4,3,0,4,8
10095,PhD,Divorced,74165.0,0,0,9,1001,12,240,16,12,1,5,4,10,2
8475,PhD,Married,157243.0,0,1,98,20,2,1582,1,2,15,0,22,0,0
4370,Graduation,Together,43482.0,2,1,83,18,1,32,6,3,3,2,0,4,6
10573,Graduation,Divorced,62551.0,0,0,27,125,16,98,134,21,1,6,7,4,3
3712,Graduation,Divorced,52332.0,0,0,63,212,5,33,7,0,1,3,2,6,4
6637,Graduation,Single,66951.0,0,0,46,277,162,305,173,76,1,3,4,7,1
3152,Graduation,Together,26091.0,1,1,84,15,10,19,8,17,3,2,1,3,5
5610,Graduation,Together,33456.0,1,1,58,7,3,10,8,1,2,1,0,3,7
6460,Graduation,Married,28718.0,1,0,78,12,4,6,11,8,2,2,0,3,8
1349,Graduation,Married,50447.0,2,0,4,85,7,24,2,3,1,3,1,3,6
1880,PhD,Together,53537.0,1,1,17,81,0,6,0,0,2,2,1,3,5
641,Graduation,Single,52074.0,0,1,77,59,0,12,0,0,1,2,2,2,4
8717,PhD,Married,80427.0,0,1,56,1149,71,449,69,71,1,11,8,8,5
10314,PhD,Married,83837.0,0,0,79,847,66,119,86,89,1,9,10,5,4
10854,PhD,Married,38853.0,1,1,90,29,0,14,0,0,2,2,0,3,7
10492,Graduation,Together,38285.0,2,1,96,2,0,5,2,0,1,0,0,3,2
6935,2n Cycle,Married,78497.0,0,0,44,207,26,447,75,0,1,5,7,12,2
7698,PhD,Married,51650.0,0,1,81,152,3,22,2,5,1,4,1,4,5
3559,2n Cycle,Married,16248.0,1,0,77,12,11,10,3,12,3,2,1,3,6
10562,Master,Married,66835.0,0,0,21,620,26,195,34,17,1,6,4,13,2
10796,Master,Married,30477.0,1,0,16,47,1,6,0,0,1,1,1,3,6
2563,Basic,Married,28249.0,0,0,80,1,9,7,2,14,1,2,0,3,6
3518,Graduation,Married,25271.0,1,0,45,10,1,18,10,4,1,1,1,2,9
5823,PhD,Single,32303.0,0,1,63,35,0,2,0,0,2,1,0,4,5
3934,Graduation,Married,61286.0,0,1,34,356,0,107,19,9,2,7,1,8,5
6982,Graduation,Married,74068.0,0,0,14,783,30,537,140,76,1,4,10,9,2
6431,PhD,Married,45759.0,1,1,13,42,1,18,3,0,2,2,0,3,7
9733,Basic,Together,24882.0,1,0,52,1,4,10,29,0,1,1,1,2,6
5602,PhD,Together,66973.0,0,0,98,466,22,432,147,113,1,8,7,12,3
7829,2n Cycle,Divorced,36640.0,1,0,99,15,6,8,7,4,1,2,1,2,5
1324,Graduation,Married,38872.0,1,0,93,23,3,21,3,19,2,3,0,3,8
326,Graduation,Married,51148.0,1,1,38,235,6,45,8,9,4,5,1,6,6
7224,Graduation,Married,31353.0,1,1,24,10,0,10,3,1,2,1,1,2,8
6999,Master,Married,69661.0,0,0,80,656,16,106,32,16,1,7,3,12,3
9938,Graduation,Married,80067.0,0,0,82,519,17,813,27,173,1,4,6,6,2
6422,Graduation,Married,86718.0,0,0,20,344,189,482,50,33,1,5,6,5,2
3182,PhD,Single,46854.0,1,1,81,96,1,79,7,1,6,5,1,3,8
7300,Graduation,Divorced,69142.0,0,1,50,448,4,34,6,4,3,8,1,7,5
10424,Graduation,Single,75922.0,0,0,60,265,138,553,224,23,1,4,4,9,1
8727,Graduation,Divorced,63693.0,0,1,63,587,43,337,42,87,3,11,6,9,6
2798,PhD,Together,102160.0,0,0,54,763,29,138,76,176,0,7,9,10,4
1030,PhD,Single,40637.0,1,1,72,22,0,13,0,0,2,1,0,3,7
624,Master,Single,18890.0,0,0,5,6,4,1,7,2,1,0,1,2,6
5176,Graduation,Together,29604.0,1,0,88,7,6,13,7,6,1,1,0,3,9
5552,Master,Divorced,48721.0,1,1,50,81,18,113,47,13,6,4,2,5,6
868,Graduation,Married,44794.0,0,1,99,54,0,7,0,0,1,2,0,3,6
380,Graduation,Divorced,64497.0,0,1,17,1170,48,320,42,32,5,11,4,9,8
2677,Graduation,Together,46097.0,0,1,11,72,24,68,65,4,5,3,1,6,4
6521,Graduation,Together,77972.0,0,0,18,613,22,319,33,102,1,4,6,9,1
6927,PhD,Married,44377.0,1,1,70,224,0,30,0,0,8,5,1,5,8
2877,Master,Together,46014.0,1,1,21,410,0,59,19,9,10,7,1,8,7
0,Graduation,Married,70951.0,0,0,66,239,10,554,254,87,1,3,4,9,1
1584,Graduation,Married,41443.0,1,0,79,171,7,171,25,19,6,8,1,5,8
7264,2n Cycle,Single,52195.0,2,1,2,12,0,4,0,0,1,1,0,2,8
6274,Master,Married,83790.0,0,0,81,1076,16,417,42,48,1,8,10,6,3
1377,Master,Widow,44551.0,0,1,24,182,4,33,0,0,2,4,1,5,7
454,Graduation,Together,69508.0,1,0,48,824,32,162,42,32,2,11,4,11,6
1755,2n Cycle,Together,45204.0,1,0,93,30,11,25,29,1,1,1,1,4,3
2075,Graduation,Married,72460.0,0,0,56,377,10,540,80,30,1,3,5,7,1
4785,PhD,Together,77622.0,0,2,3,520,7,154,19,0,2,6,3,11,3
9076,PhD,Married,30732.0,1,0,44,155,1,25,0,1,4,4,1,4,8
7079,Graduation,Divorced,63887.0,0,1,38,897,23,207,15,11,5,9,6,12,6
4653,Graduation,Together,42011.0,1,0,46,131,0,16,2,1,4,3,1,4,8
7375,Graduation,Together,51369.0,0,1,84,297,7,79,0,11,2,8,2,4,8
709,Graduation,Divorced,51537.0,0,1,27,787,20,204,0,0,3,2,2,11,8
460,PhD,Married,79930.0,0,0,72,792,86,740,67,51,1,3,5,8,2
3726,PhD,Together,34320.0,1,0,66,4,1,9,3,0,1,1,0,2,8
6798,Graduation,Single,37070.0,1,1,30,231,7,137,4,15,9,5,1,8,7
5341,2n Cycle,Divorced,81975.0,0,1,2,983,76,184,180,138,1,6,3,4,7
1606,Graduation,Together,38590.0,1,0,65,3,1,8,4,3,1,1,0,2,8
9617,Graduation,Single,15033.0,0,0,37,0,4,5,6,0,1,1,0,3,3
3233,PhD,Married,62745.0,0,1,89,562,21,464,28,10,3,7,8,11,5
89,2n Cycle,Married,22212.0,1,0,49,5,9,20,6,8,2,2,0,4,6
2936,Master,Together,23661.0,1,0,46,18,0,4,0,0,1,1,0,3,7
9449,PhD,Single,79761.0,0,1,32,415,5,124,15,35,1,5,2,11,3
7297,Graduation,Single,7500.0,1,0,54,5,3,10,12,7,4,3,1,3,7
11004,2n Cycle,Single,60182.0,0,1,23,8,0,5,7,0,1,1,0,2,4
313,Graduation,Widow,73455.0,0,0,98,901,61,757,186,163,1,6,5,10,3
9940,Graduation,Together,64961.0,0,1,97,382,114,276,75,124,2,6,4,4,3
10735,Graduation,Single,22804.0,1,0,75,14,1,7,2,1,1,2,0,2,9
9529,Graduation,Married,73687.0,0,0,8,559,153,503,218,13,1,3,9,9,2
6439,Graduation,Married,61074.0,0,1,37,789,0,133,0,28,7,11,5,8,7
7411,PhD,Married,31686.0,1,1,31,11,0,5,0,0,2,1,0,3,6
2176,Graduation,Married,80134.0,1,0,40,1218,16,272,104,0,2,5,3,6,6
